periode_data,wilayah,kecamatan,nama_lokasi,latitude,longitude,periode_pemantauan,parameter,baku_mutu,nilai
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)","Mangan (Mn) terlarut",0.1,0.02
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)",Salinitas,N/A,0.02
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)","Oksigen terlarut (DO)",4,5.3
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)","Daya Hantar Listrik",N/A,254.5
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)",ORP*,N/A,44.5
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)",Deterjen,0.05,0.07
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)","Zat Organik (KMnO4)",10,3.47
2024,"Kota Adm. Jakarta Pusat",Kemayoran,"Sumur Batu",-6.1622,106.8737,"Periode 1 (Musim Hujan)","Air Raksa",N/A,0.0009
2024,"Kota Adm. Jakarta Selatan",Setiabudi,Setiabudi,-6.208972222,106.8239722,"Periode 2 (Musim Kering)",Kadmium,N/A,0.005
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)",Timbal,N/A,0.01
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)",IP,N/A,10
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)",Status,N/A,sedang
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)","Escherichia coli",0,0
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)","Total Coliform",0,0
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)",Temperatur,N/A,29.25
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)","Total Dissolve Solid",300,328.5
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)",Kekeruhan,3,2.96
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)",Warna,10,4
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)",pH,N/A,6.665
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)","Nitrat (sebagai NO3) (terlarut)",20,1
2024,"Kota Adm. Jakarta Utara",Pademangan,"Pademangan Timur",-6.13315,106.842745,"Periode 1 (Musim Hujan)","Nitrit (sebagai NO2) (terlarut)",3,0.087
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)","Kromium valensi 6 (Cr6+) (terlarut)",0.01,0.002
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)","Besi (Fe) (terlarut)",0.2,0.93
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)","Mangan (Mn) terlarut",0.1,0.33
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)",Salinitas,N/A,0.03
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)","Oksigen terlarut (DO)",4,5.35
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)","Daya Hantar Listrik",N/A,494
